"milieu","taille","pauvre","sexecm","agecm","diplômcm","cmanalphabe","cmalphabe","cm_prim","cm_coll","cm_secon","cm_univ","occup_cm","emcm","cscm","typlog","nbpiece","stocp","deptot","region","coeffmen","ident","trmo","deppc"
1,5,2,0,48,1111,0,0,0,0,1,0,1,1,0,3,3,3,28589,3,802.099975585938,214,0,5717.7998046875
1,7,2,1,58,NA,0,0,0,0,1,0,1,1,1,3,6,1,120947,3,933.400024414062,215,0,17278.142578125
1,6,1,0,27,NA,1,0,0,0,0,0,0,0,0,3,1,3,62316,3,682.5,216,650,10386
1,4,2,0,48,NA,1,0,0,0,0,0,0,1,1,3,3,1,70956,3,802.099975585938,217,0,17739
1,7,2,1,64,NA,1,0,0,0,0,0,1,1,0,3,7,1,52358,3,925.599975585938,218,4550,7479.71435546875
1,6,1,1,44,NA,0,0,0,1,0,0,1,1,1,3,3,1,70956,3,682.5,219,0,11826
1,7,2,1,62,NA,0,1,0,0,0,0,0,1,0,3,3,1,51185,3,802.099975585938,220,0,7312.14306640625
1,10,2,1,50,1120,0,0,0,1,0,0,0,1,1,3,5,1,39673,3,933.400024414062,221,0,3967.30004882812
1,6,2,1,55,NA,1,0,0,0,0,0,1,1,0,3,5,1,61675,3,802.099975585938,222,195,10279.1669921875
1,6,2,1,36,NA,0,0,0,0,1,0,1,1,0,3,3,1,25214,3,933.400024414062,223,0,4202.33349609375
1,7,2,1,46,NA,0,1,0,0,0,0,1,1,0,3,5,1,79813,3,1024.40002441406,224,5850,11401.857421875
1,10,2,1,72,2120,1,0,0,0,0,0,1,1,0,3,4,1,57424,3,1030.90002441406,225,0,5742.39990234375
1,5,2,1,48,NA,0,1,0,0,0,0,1,1,0,3,2,7,31573,3,886.599975585938,226,0,6314.60009765625
1,9,2,1,44,1120,1,0,0,0,0,0,1,1,0,2,2,1,39084,3,755.299987792969,227,0,4342.66650390625
1,3,2,0,70,2110,1,0,0,0,0,0,0,0,0,3,3,1,58288,3,1030.90002441406,228,0,19429.333984375
